system   D            wsystem.c:583  maybe_parent_dir                 [   0.00068] Also searching C:\Users\WiLL\git\AllegroPlayground2\AllegroPlayground\
font     D                ttf.c:216  alloc_glyph_region               [   0.18605] glyph 10x12 (12x12)
font     D                ttf.c:216  alloc_glyph_region               [   0.18611] glyph 10x12 (12x12)
font     D                ttf.c:216  alloc_glyph_region               [   0.18618] glyph 10x15 (12x16)
font     D                ttf.c:216  alloc_glyph_region               [   0.18624] glyph 7x15 (8x16)
font     D                ttf.c:216  alloc_glyph_region               [   0.18632] glyph 10x15 (12x16)
font     D                ttf.c:216  alloc_glyph_region               [   0.18638] glyph 10x16 (12x16)
font     D                ttf.c:216  alloc_glyph_region               [   0.18645] glyph 10x12 (12x12)
font     D                ttf.c:216  alloc_glyph_region               [   0.18678] glyph 12x15 (12x16)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.18736] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.18738] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:216  alloc_glyph_region               [   0.18751] glyph 13x15 (16x16)
font     D                ttf.c:216  alloc_glyph_region               [   0.18763] glyph 17x12 (20x12)
font     D                ttf.c:216  alloc_glyph_region               [   0.18771] glyph 13x12 (16x12)
font     D                ttf.c:216  alloc_glyph_region               [   0.18778] glyph 10x15 (12x16)
font     D                ttf.c:216  alloc_glyph_region               [   0.18784] glyph 10x12 (12x12)
font     D                ttf.c:216  alloc_glyph_region               [   0.18789] glyph 7x19 (8x20)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.18858] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.18863] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:216  alloc_glyph_region               [   0.18883] glyph 11x12 (12x12)
font     D                ttf.c:216  alloc_glyph_region               [   0.18891] glyph 8x15 (8x16)
font     D                ttf.c:216  alloc_glyph_region               [   0.18896] glyph 7x19 (8x20)
font     D                ttf.c:216  alloc_glyph_region               [   0.18899] glyph 4x12 (4x12)
font     D                ttf.c:216  alloc_glyph_region               [   0.18908] glyph 12x15 (12x16)
font     D                ttf.c:216  alloc_glyph_region               [   0.18913] glyph 10x12 (12x12)
font     D                ttf.c:216  alloc_glyph_region               [   0.18918] glyph 11x8 (12x8)
font     D                ttf.c:216  alloc_glyph_region               [   0.18923] glyph 11x15 (12x16)
font     D                ttf.c:216  alloc_glyph_region               [   0.18930] glyph 11x15 (12x16)
font     D                ttf.c:216  alloc_glyph_region               [   0.18936] glyph 11x15 (12x16)
font     D                ttf.c:216  alloc_glyph_region               [   0.18940] glyph 9x15 (12x16)
font     D                ttf.c:216  alloc_glyph_region               [   0.18944] glyph 10x15 (12x16)
font     D                ttf.c:216  alloc_glyph_region               [   0.18951] glyph 10x15 (12x16)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.19260] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.19263] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.19313] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.19315] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   0.19363] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   0.19366] _al_d3d_sync_bitmap (video) ref count == 2
dtor     D               dtor.c:184  _al_register_destructor          [   4.19679] added dtor for object 005FA090, func 72CE1A0F
dtor     D               dtor.c:184  _al_register_destructor          [   4.19684] added dtor for object 005EB108, func 72CE1690
font     D                ttf.c:216  alloc_glyph_region               [   4.23000] glyph 11x15 (12x16)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   4.23083] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   4.23087] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:216  alloc_glyph_region               [   4.23104] glyph 14x12 (16x12)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   4.23235] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   4.23238] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:216  alloc_glyph_region               [   4.24750] glyph 10x15 (12x16)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   4.24890] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   4.24893] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   4.26559] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   4.26563] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:216  alloc_glyph_region               [   4.28101] glyph 10x15 (12x16)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   4.28278] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   4.28281] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   4.29868] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   4.29872] _al_d3d_sync_bitmap (video) ref count == 2
font     D                ttf.c:216  alloc_glyph_region               [   4.34824] glyph 10x15 (12x16)
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   4.34914] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   4.34917] _al_d3d_sync_bitmap (video) ref count == 2
d3d      D          d3d_bmp.cpp:455  _al_d3d_sync_bitmap              [   4.36555] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:460  _al_d3d_sync_bitmap              [   4.36559] _al_d3d_sync_bitmap (video) ref count == 2
dtor     D               dtor.c:214  _al_unregister_destructor        [   8.93870] removed dtor for object 00555010
d3d      W          d3d_bmp.cpp:725  d3d_destroy_bitmap               [   8.93886] d3d_destroy_bitmap: Release video texture failed.
dtor     D               dtor.c:214  _al_unregister_destructor        [   8.93925] removed dtor for object 005549F0
d3d      W          d3d_bmp.cpp:725  d3d_destroy_bitmap               [   8.93933] d3d_destroy_bitmap: Release video texture failed.
dtor     D               dtor.c:214  _al_unregister_destructor        [   8.93948] removed dtor for object 00554E18
d3d      W          d3d_bmp.cpp:725  d3d_destroy_bitmap               [   8.93956] d3d_destroy_bitmap: Release video texture failed.
dtor     D               dtor.c:214  _al_unregister_destructor        [   8.93988] removed dtor for object 005FA090
dtor     D               dtor.c:214  _al_unregister_destructor        [   8.94786] removed dtor for object 005EB108
d3d      I         d3d_disp.cpp:920  d3d_destroy_display              [   8.94790] destroying display 00538BD0 (current 00000000)
d3d      D         d3d_disp.cpp:904  d3d_destroy_display_internals    [   8.94798] waiting for display 00538BD0's thread to end
d3d      W         d3d_disp.cpp:616  d3d_destroy_device               [   8.95212] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1522 d3d_display_thread_proc          [   8.95602] d3d display thread exits
